pregunta;respuesta
¿EN QUÉ CONSISTE LA VIOLENCIA ECONÓMICA?;La violencia económica consiste enel uso del dinero como medio para chantajear, que suele expresarse en actuaciones, como la de esconder el dinero, no ser sinceros en las cuentas que se manejan, quitarle el dinero, obligarla a hacer alguna acción no deseada para que obtenga dinero.
¿CUÁLES SON FACTORES QUE RESPALDAN EL DESARROLLO DE LA VIOLENCIA INTRAFAMILIAR?;"Los factores que respaldan el desarrollo de la violencia intrafamiliar son:
-	La invisibilización que está presente cuando se normaliza la violencia considerándola como algo habitual que siempre ha existido como un proceso natural del ser humano.
-	La legitimación o justificación en el vínculo que se establece en las prácticas violentas.
-	La racionalización de la violencia (tolerancia social) radica en la trasmisión y consolidación en la sociedad de determinados discursos, creencias, mitos o esteriotipos que intentan dar explicación no racional de la realidad y lograr distraer la verdadera situación problémica y minimizar su gravedad.
-	La formación desde la familia de patrones socioculturales violentos incluyendo patrones de consumo de sustancias tóxicas.
-	La desorganización familiar, relacionado en muchos casos al ejercicio de una autoridad desmedida por alguno de los miembros, no cumplimiento o el descuido de las funciones familiares como la comunicativa, económica, biológica, afectiva, reguladora, pobre capacidad de comunicación y de sensibilidad dentro de la institución familiar."
¿CÓMO SE DESARROLLAN LOS FACTORES QUE RESPALDAN EL DESARROLLO DE LA VIOLENCIA INTRAFAMILIAR?;Los factores que respaldan el desarrollo de la violencia intrafamiliar se desarrollan no solo en el marco de las relaciones sociales sino en el interior de muchas familias como forma de vida, real o simbólica, constituye una forma de resolver los conflictos intrafamiliares o como vía de afrontamiento a diversos problemas, pues dejan al descubierto los verdaderos métodos que deberían emplearse para darles solución, que pueden estar dirigidos a la búsqueda de orientación y apoyo en profesionales de la salud o instituciones sociales encargadas de proteger los derechos de los ciudadanos.
¿CUÁLES SON LAS PRINCIPALES SECUELAS A NIVEL FÍSICO DE UNA VÍCTIMA DE VIOLENCIA INTRAFAMILIAR?;Entre las principales secuelas a nivel físico de una víctima de violencia intrafamiliar se encuentran: cefaleas, dolores de espalda, trastornos gastrointestinales, disfunciones respiratorias, palpitaciones, hiperventilación y lesiones de todo tipo como traumatismos, heridas, quemaduras, enfermedades de transmisión sexual y/o embarazos no deseados debido a relaciones sexuales forzadas, embarazos de riesgo y abortos. La violencia puede acarrear para la víctima incluso consecuencias letales mediante el homicidio o el suicidio.
¿CUÁLES SON LAS PRINCIPALES SECUELAS A NIVEL PSICOLÓGICO DE UNA VÍCTIMA DE VIOLENCIA INTRAFAMILIAR?;"A nivel psicológico se generan efectos profundos tanto a corto como a largo plazo. La reacción inmediata suele ser de conmoción, paralización temporal y negación de lo sucedido, seguidas de aturdimiento, desorientación y sentimientos de soledad, depresión, vulnerabilidad e impotencia. Luego los sentimientos de la víctima pueden pasar del miedo a la rabia, de la tristeza a la euforia, de la compasión de sí misma al sentimiento de culpa. A mediano plazo, pueden presentar ideas obsesivas, incapacidad para concentrarse, insomnio, pesadillas, llanto incontrolado, mayor consumo de fármacos y adicciones.
También puede presentarse una reacción tardía descripta como síndrome de estrés postraumático, consiste en una serie de trastornos emocionales, que no necesariamente aparecen temporalmente asociados con la situación que los originó, pero que constituyen una secuela de situaciones traumáticas vividas, tales como haber estado sometida a situaciones de maltrato físico o psicológico. Algunos de sus síntomas son: trastornos del sueño (pesadillas e insomnio), trastornos amnésicos, depresión, ansiedad, sentimientos de culpa, trastornos por somatización, fobias y miedos diversos, disfunciones sexuales y el uso de la violencia hacia otros como con los propios hijos. "
¿CUÁLES SON LAS PRINCIPALES SECUELAS A NIVEL SOCIAL DE UNA VÍCTIMA DE VIOLENCIA INTRAFAMILIAR?;A nivel social puede ocurrir un deterioro de las relaciones personales, aislamiento social y la pérdida del empleo debido al incremento del ausentismo y a la disminución del rendimiento laboral.
¿CÓMO SE PUEDE PREVENIR LA VIOLENCIA INTRAFAMILIAR?;"Se puede prevenir la violencia intrafamiliar tomando en cuenta las siguientes orientaciones:
-	Potenciar el desarrollo de habilidades sociales desde la niñez.
-	Fomentar el desarrollo de relaciones sanas, estimulantes, saludables entre padres e hijos.
-	Propiciar estilos de comunicación y estilos educativos en los hijos, capaces de generar mayor independencia, respeto, comprensión mutua y relaciones sociales saludables.
-	Proporcionar el establecimiento de límites y roles en la familia desde edades tempranas del desarrollo, provistas de un manejo asertivo por todos sus miembros.
-	Propiciar relaciones afectivas donde lo primordial sea la expresión de afecto paternal y/o familiar, la educación en valores, entre otras.
-	Fortalecer las uniones entre la familia y la escuela, consideradas las principales fuentes de desarrollo de la personalidad del niño.
-	Reeducar a toda la sociedad con una buena base educativa y afectiva que permita establecer los buenos pilares necesarios para construir sociedades verdaderamente libres, democráticas, solidarias y pacíficas cuya interacción principal se basa en el servicio, cuidado y ayuda mutua entre sus miembros."
¿QUÉ ES LA FAMILIA?;La familia es el lugar en el que aprendemos a conocernos, a relacionarnos, a comunicarnos y a resolver nuestros problemas. También aprendemos cómo ser hombres y mujeres. Por esta razón, la familia juega un papel muy importante en la formación de los niños. La familia debe ser un lugar en el que exista afecto, buena comunicación, comprensión, respeto y formas adecuadas de resolver nuestros conflictos. De esta manera nos sentiremos a gusto y protegidos en ella y enseñaremos a nuestros hijos e hijas a relacionarse con respeto.
¿CUÁLES SON LOS TIPOS DE VIOLENCIA INTRAFAMILIAR SEGÚN LA CLASE DE VÍCTIMA?;"En la familia podemos encontrar tres tipos de violencia:
-	El maltrato infantil se produce cuando la violencia afecta a niños, niñas y adolescentes menores de 18 años y es ejercida por los padres o cuidadores.
-	Se llama violencia de pareja o violencia doméstica cuando afecta a algún miembro de la pareja, sin embargo, esta forma de violencia se da principalmente de los hombres hacia las mujeres.
-	Existe violencia contra los adultos mayores cuando el maltrato afecta a los abuelos o abuelas de una familia, es decir, las personas de la tercera edad."
¿EN QUÉ CONSISTE EL MALTRATO INFANTIL?;"El maltrao infantil en la familia se da cuando se daña física, psicológica o sexualmente a los niños, niñas  adolescentes menores de 18 años.
-	Existe maltrato físicos si los padres o las personas que están al cuidado de una niña o niño, lo golpean, le dan cachetadas, palmadas, lo zamarrean o agreden físicamente o de cualquier manera.
-	Existe maltrato psicológico en contra de un niño o niña cuando se le agrede verbalmente. Por ejemplo, si los padres o personas que cuidan de un niño o niña le gritan constantemente o le dicen insultos, como “tonto, feo, no sirves para nada o haces todo mal” o le hablan con grosería. Si el papá o la mamá se relaciona con su hijo o hija de esta manera, dañarán su autoestima y le enseñarán a tratar de este modo a sus futuros hijos."
¿CUÁLES SON LAS CONSECUENCIA DEL MALTRATO INFANTIL?;Los niños que son maltratados por sus padres aprenden a resolver sus problemas a través de la violencia, se ponen más agresivos y difíciles, y pueden tener problemas en el colegio, ya sea bajando sus notas o poniéndose violentos con sus compañeros. Es importante considerar además que el maltrato puede provocar daños físicos a los niños, niñas y adolescentes. Nada hace que un niño o niña se merezca ser maltratado física o psicológicamente. Nada de lo que usted hizo cuando niño o niña justifica los malos tratos que recibió, sólo era un niño o una niña y estaba aprendiendo. Necesitaba que los adultos le enseñaran, pero ellos no conocían otra manera de educar que no fuera usando los castigos físicos y la violencia psicológica.
¿EN QUÉ CONSISTE EL ABUSO SEXUAL?;El abuso sexual es cualquier contacto entre un adulto y un niño o niña, con el propósito de la satisfacción sexual del adulto. El adulto que abusa sexualmente de un niño o niña puede hacerlo a través de amenazas, engaños o por la fuerza. Siempre el adulto es el responsable del abuso. El niño o niña no es responsable, aunque acepte participar en lo que le propone el adulto, pues es este último el que sabe que este tipo de comportamiento no debe darse entre un adulto y un niño, niña o adolescente. Algunos ejemplos de abusos sexuales son mostrar fotos pornográficas a los niños, hablar sobre temas obscenos, mostrar o tocar genitales, penetración sexual (violación).
¿DE QUÉ FORMA PUEDE MANIFESTARSE EL ABUSO SEXUAL?;Puede ser que el adulto toque partes íntimas de un niño, niña o adolescente, o que haga que el niño o niña toque sus partes íntimas. Obligar a los niños a mostrar sus cuerpos es también una forma de abuso sexual, y la forma más extrema es la violación. No sólo la violación es grave, todos los abusos sexuales contra los niños son graves, y es necesario proteger a los niños de los abusadores.
¿CÓMO PODEMOS DARNOS CUENTA DE QUE UN NIÑO ESTÁ VIVIENDO ABUSO SEXUAL?;"Existen algunos comportamientos o actitudes en los niños que pueden hacernos pensar que están viviendo abuso sexual. Si detectamos estas señales debemos averiguar si esto les está sucediendo para detener de inmediato el abuso. Los comportamientos y actitudes que se describen a continuación a veces también se presentan por otras razones distintas al abuso sexual. Por lo tanto, si su hijo o hija presenta alguno de ellos es muy importante que averigüe qué le está pasando y pueda ayudarlo, cualquiera sea la situación que lo está afectando:
•	Cambios bruscos de comportamiento. Por ejemplo, su hijo o hija era alegre y se pone triste y distraído, o era buen estudiante y de repente baja sus notas o le gustaba compartir con los demás y se vuelve solitario y retraído. 
•	Comienza a tener problemas de sueños, temores nocturnos y pesadillas.
•	Comportamientos agresivos o sexualizados. 
•	 Tiene dificultades para caminar o sentarse. 
•	Se le detecta una enfermedad de transmisión sexual. 
•	Vuelve a hacerse pipi o caca cuando ya había aprendido a avisar o hacer solo.
•	Muestra mucho interés por lo sexual.  
•	El niño o niña dice que está viviendo abuso sexual."
¿QUÉ SE DEBE HACER SI UN NIÑO O ADOLESCENTE MANIFIESTA QUE ESTÁ SIENDO VÍCTIMA DE ABUSO?;"•	No perder la calma, tratar de mantenerse tranquilo para poder escuchar al niño y acogerlo con afecto. 
•	Hay que creer lo que nos cuenta. Los niños no mienten en estos temas. 
•	Decirle que no es culpable. Es muy importante dejarle claro que él o ella no tiene ninguna culpa, que el responsable es el agresor (puede usar frases como ""tú no has hecho nada malo"", ""no es tu culpa"", ""tú no has podido evitarlo”). 
•	Decirle que saldrá adelante (""sé que ahora te sientes mal, pero te vamos a ayudar para que vuelvas a sentirte bien""). 
•	Expresarle afecto. Necesita sentirse seguro y querido"
¿QUÉ SE PUEDE HACER PARA PREVENIR EL ABUSO SEXUAL?;"•	Enseñar a los niños desde pequeños a cuidar su cuerpo.
•	No dejar a sus hijos solos en casa, ni menos con personas que a ellos les provoquen desconfianza. Confiar en la intuición de sus hijos.
•	Estar alerta a los signos y señales que nos hagan sospechar que nuestro hijo o hija vive abuso sexual."
¿QUÉ ES LA VIOLENCIA DOMÉSTICA O VIOLENCIA DE PAREJA?;La violencia doméstica o de pareja o es la situación donde los conflictos son afrontados con conductas agresivas sobre la otra persona. La violencia no es normal, por lo que no se debe justificar ni con el consumo de alcohol o de drogas, ni con el estrés, ni con el cansancio. Es verdad que todas las personas y también las parejas son diferentes, por lo que tienen distintos puntos de vista, creencias y maneras de hacer las cosas, y que estas diferencias a veces pueden crear conflictos, que son normales en las familias y las parejas, sin embargo, éstos deben solucionarse mediante el diálogo, el respeto mutuo, la tolerancia y la aceptación de las diferencias, no con agresión.
¿CÓMO SE EXPRESA LA VIOLENCIA DOMÉSTICA O DE PAREJA?;La violencia doméstica se expresa mediante comportamientos de control constante que tiene la pareja sobre todo lo que usted hace, con quién se junta, le impide ver a su familia o participar en distintas actividades o si le dice garabatos o cosas como “tonta, estúpida, no sirves para nada”, critica la forma en cómo hace las cosas de la casa, critica su manera de vestir o su apariencia física o todo lo que usted hace le parece mal y se enoja, usted está viviendo violencia psicológica.
¿CÓMO SE PUEDE DETERMINAR SI SE VIVE VIOLENCIA EN PAREJA?;"Para determinar si usted vive violencia en pareja lo invitamos a contestar este cuestionario para que evalúe su relación de pareja.
•	¿Su pareja le ha hecho daño físico, por ejemplo: empujado, lanzado objetos, dado cachetadas, arrastrado, tirado el pelo o le ha hecho cualquier otro daño físico? 
•	¿Su pareja actual la ha forzado a tener relaciones sexuales u otros actos sexuales en contra de su voluntad? 
•	¿Su pareja le ha insultado, humillado, rechazado, ridiculizado, controlado, le ha hecho situaciones de celos?
Si contesta “sí” a una de estas tres preguntas, es importante que busque ayuda para saber más sobre su relación, ya que es muy probable que esté viviendo violencia de parte de su pareja y debe hacer algo para solucionar esta situación, antes de que se vuelva más grave. Cuando una persona vive violencia de parte de su pareja, muchas veces siente vergüenza y miedo de contarle a otras personas lo que le está pasando, y de pedir ayuda. Cree que es el único que vive este tipo de problemas, y que no hay nadie que pueda ayudarla a enfrentarlos. Es importante que sepa que para poder detener la violencia que viven usted y sus hijos e hijas, es necesario que confíe en otra persona y le cuente lo que le sucede antes de que esta situación se vuelva más grave. El apoyo familiar puede guiarle en este tema."
¿CUÁLES SON LOS TIPOS DE VIOLENCIA INTRAFAMILIAR DE ACUERDO CON LOS MIEMBROS DE LA FAMILIA QUE COMPROMETE?;"•	Violencia filoparental
•	Violencia de género
•	Violencia bidireccional
•	Violencia contra los niños"
¿EN QUÉ CONSISTE LA VIOLENCIA FILOPARENTAL?;Se considera violencia filioparental (VFP) a los «actos agresivos perpetrados por un menor que hacen que su progenitor se sienta amenazado, intimidado y controlado» (Gámez-Guadix y Calvete, 2012, p. 277). A este tipo de violencia, Morán et al. (2012), la llaman ascendente, mientras Cottrell (2001) la definecomo «cualquier acto que realiza el menor con la intención de controlar a los padres o causarles daño psicológico, físico o financiero» (p. 102).
¿EN QUÉ CONSISTE LA VIOLENCIA DE GÉNERO?;La violencia de género consiste en violencia sobre un género específico, ya sea femenino o masculino. Según el MIMP, la violencia de género se impone por su frecuencia, particularidades y tiene en el feminicidio su expresión máxima. También, se señala «la violenciade pareja contra el hombre es un fenómeno subvalorado, con registros incompletos en la literatura, debido a las pocas denuncias existentes, lo cual promueve el imaginario de que los hombres no son víctimas de esta violencia» (Floyd-Aristizábal et al., 2016, p. 35).
¿EN QUÉ CONSISTE LA VIOLENCIA CONTRA LOS NIÑOS?;La OMS (2020) define el maltrato infantil en los siguientes términos: Como los abusos y la desatención de que son objeto los menoresde 18 años, e incluye todos los tipos de maltrato físico opsicológico, abuso sexual, desatención, negligencia y explotacióncomercial o de otro tipo que causen o puedan causar un daño ala salud, desarrollo o dignidad del niño, o poner en peligro susupervivencia, en el contexto de una relación de responsabilidad,confianza o poder. Además, el síndrome del niño maltratado o síndrome de Kempena es unaforma de maltrato infantil que pasa desapercibido, pues no aparece en lasestadísticas oficiales. Para Guerrero-Cazares y Delgado-Guerrero (2012) «esuna forma grave de maltrato infantil consecuencia de violencia doméstica, seacompaña de daño físico o psicológico inferido a un niño mediante agresionesreiteradas, provocadas por uno o más adultos que están a cargo de la víctima»(p. 43).
¿QUÉ NORMATIVAS PERUANAS SE ORIENTAN A ERRADICAR EL PROBLEMA DE LA VIOLENCIA INTRAFAMILIAR?;"•	Ley Nº 30364: Ley para Prevenir, Sancionar y Erradicar la Violencia contra las Mujeres y los Integrantes del Grupo Familiar. 
•	Constitución Política del Perú: Artículo 2º inc. 24, lit. h y Artículo 4º.
•	Convención sobre la Eliminación de todas las formas de Discriminación contra la Mujer – CEDAW. 
•	Convención Interamericana para Prevenir, Sancionar y Erradicar la Violencia Contra la Mujer “Convención de Belém do Pará”. 
•	Convención sobre los Derechos del Niño. 
•	Texto Único Ordenado de la Ley 26260 – Ley de Protección Contra la Violencia Familiar y Sexual y sus modificatorias. 
•	Ley 27337 - Código de los Niños y Adolescentes. 
•	Ley de Igualdad de oportunidades entre mujeres y hombres – Ley Nº 28983. 
•	DS N° 011-2004-MIMDES, Reglamento de Organización y Funciones del MIMDES. 
•	RM Nº 452-2005-MIMDES, Manual de Organización y Funciones del MIMDES. 
•	D.S. 017-2005-JUS, Plan Nacional de Derechos Humanos 2006 – 2010. 
•	D.S. 027-2007-PCM, Define y establece las Políticas Nacionales de obligatorio cumplimiento para las entidades del gobierno nacional. 
•	Acuerdo Nacional – Décimo Sexta política de Estado. 
•	Decreto Supremo Nº 003-2009 –MIMDES “Plan Nacional Contra la Violencia hacia la Mujer 2009-2015”"
¿CUÁL ES EL OBJETIVO DE LA LEY N 30364?;La presente Ley tiene por objeto prevenir, erradicar y sancionar toda forma de violencia producida en el ámbito público o privado contra las mujeres por su condición de tales, y contra los integrantes del grupo familiar, en especial, cuando se encuentran en situación de vulnerabilidad, por la edad o situación física como las niñas, niños, adolescentes, personas adultas mayores y personas con discapacidad. Para tal efecto, establece mecanismos, medidas y políticas integrales de prevención, atención y protección de las víctimas así como reparación del daño causado, y dispone la persecución, sanción y reeducación de los agresores sentenciados con el fin de garantizar a las mujeres y al grupo familiar una vida libre de violencia asegurando el ejercicio pleno de sus derechos.
¿CUÁLES SON LOS PRINCIPIOS RECTORES DE LA LEY N 30364?;"En la interpretación y aplicación de esta Ley, y en general, en toda medida que adopte el Estado a través de sus poderes públicos e instituciones, así como en la acción de la sociedad, se consideran preferentemente los siguientes principios: 
•	Principio de igualdad y no discriminación: Se garantiza la igualdad entre mujeres y hombres. Prohíbase toda forma de discriminación. Entiéndase por discriminación, cualquier tipo de distinción, exclusión o restricción, basada en el sexo, que tenga por finalidad o por resultado menoscabar o anular el reconocimiento, goce o ejercicio de los derechos de las personas.
•	Principio del interés superior del niño: En todas las medidas concernientes a las niñas y niños adoptadas por instituciones públicas o privadas de bienestar social, los tribunales, las autoridades administrativas o los órganos legislativos se debe tener en consideración primordial el interés superior del niño.
•	Principio de la debida diligencia: El Estado adopta sin dilaciones, todas las políticas orientadas a prevenir, sancionar y erradicar toda forma de violencia contra las mujeres y los integrantes del grupo familiar. Deben imponerse las sanciones correspondientes a las autoridades que incumplan este principio.
•	Principio de intervención inmediata y oportuna: Los operadores de justicia y la Policía Nacional del Perú, ante un hecho o amenaza de violencia, deben actuar en forma oportuna, sin dilación por razones procedimentales, formales o de otra naturaleza, disponiendo el ejercicio de las medidas de protección previstas en la ley y otras normas, con la finalidad de atender efectivamente a la víctima.
•	Principio de sencillez y oralidad: Todos los procesos por violencia contra las mujeres y los integrantes del grupo familiar se desarrollan considerando el mínimo de formalismo, en espacios amigables para las presuntas víctimas, favoreciendo que estas confíen en el sistema y colaboren con él para una adecuada sanción al agresor y la restitución de sus derechos vulnerados.
•	Principio de razonabilidad y proporcionalidad: El fiscal o juez a cargo de cualquier proceso de violencia, debe ponderar la proporcionalidad entre la eventual afectación causada y las medidas de protección y de rehabilitación a adoptarse. Para ello, debe hacer un juicio de razonabilidad de acuerdo con las circunstancias del caso, emitiendo decisiones que permitan proteger efectivamente la vida, la salud y la dignidad de las víctimas. La adopción de estas medidas se adecúa a las fases del ciclo de la violencia y a las diversas tipologías que presenta la violencia contra las mujeres y los integrantes del grupo familiar."
¿CUÁLES SON LOS ENFOQUES DE LA LEY N 30364?;"Los operadores, al aplicar la presente Ley, consideran los siguientes enfoques: 
•	Enfoque de género: Reconoce la existencia de circunstancias asimétricas en la relación entre hombres y mujeres, construidas sobre la base de las diferencias de género que se constituyen en una de las causas principales de la violencia hacia las mujeres. Este enfoque debe orientar el diseño de las estrategias de intervención orientadas al logro de la igualdad de oportunidades entre hombres y mujeres. 
•	Enfoque de integralidad: Reconoce que en la violencia contra las mujeres confluyen múltiples causas y factores que están presentes en distintos ámbitos, a nivel individual, familiar, comunitario y estructural. Por ello se hace necesario establecer intervenciones en los distintos niveles en los que las personas se desenvuelven y desde distintas disciplinas. 
•	Enfoque de interculturalidad: Reconoce la necesidad del diálogo entre las distintas culturas que se integran en la sociedad peruana, de modo que permita recuperar, desde los diversos contextos culturales, todas aquellas expresiones que se basan en el respeto a la otra persona. Este enfoque no admite aceptar prácticas culturales discriminatorias que toleran la violencia u obstaculizan el goce de igualdad de derechos entre personas de géneros diferentes. 
•	Enfoque de derechos humanos: Reconoce que el objetivo principal de toda intervención en el marco de esta Ley debe ser la realización de los derechos humanos, identificando a los titulares de derechos y aquello a lo que tienen derecho conforme a sus particulares necesidades, identificando, asimismo, a los obligados o titulares de deberes y de las obligaciones que les corresponden. Se procura fortalecer la capacidad de los titulares de derechos para reivindicar estos y de los titulares de deberes para cumplir sus obligaciones. 
•	Enfoque de interseccionalidad: Reconoce que la experiencia que las mujeres tienen de la violencia se ve influida por factores e identidades como su etnia, color, religión, opinión política o de otro tipo, origen nacional o social, patrimonio, estado civil, orientación sexual, condición de seropositiva, condición de inmigrante o refugiada, edad o discapacidad, y, en su caso, incluye medidas orientadas a determinados grupos de mujeres. 
•	Enfoque generacional: Reconoce que es necesario identificar las relaciones de poder entre distintas edades de la vida y sus vinculaciones para mejorar las condiciones de vida o el desarrollo común. Considera que la niñez, la juventud, la adultez y la vejez deben tener una conexión, pues en conjunto están abonando a una historia común y deben fortalecerse generacionalmente. Presenta aportaciones a largo plazo considerando las distintas generaciones y colocando la importancia de construir corresponsabilidades entre estas."
¿QUÉ SERVICIOS EXISTEN EN EL PERÚ PARA ATENDER LOS CASOS DE VIOLENCIA INTRAFAMILIAR?;"Si eres mujer o formas parte de un grupo familiar y te encuentras en situación de violencia, puedes solicitar apoyo al Ministerio de la Mujer y Poblaciones Vulnerables (MIMP) en todo el territorio peruano, de acuerdo a lo dispuesto en la Ley N.° 30364, Ley para prevenir, sancionar y erradicar la violencia contra las mujeres y los integrantes del grupo familiar. A través del Programa Nacional para la Prevención y Erradicación de la Violencia contra las Mujeres e Integrantes del Grupo Familiar - Aurora, se diseñan y ejecutan acciones y políticas de atención, prevención y apoyo a las personas involucradas en hechos de violencia familiar y sexual, contribuyendo así a mejorar la calidad de vida de a población. Entre los servicios que te ofrece están:
•	Centro de Atención Institucional (CAI)
•	Asistencia Económica (AE)
•	Servicio de Atención Rural (SAR)
•	Servicio de Atención Urgente (SAU)
•	Línea 100
•	Centros Emergencia Mujer (CEM)
•	Chat 100
•	Hogar de Refugio Temporal (HRT)"
¿EN QUÉ CONSISTE EL SERVICIO CENTRO DE ATENCIÓN INSTITUCIONAL (CAI)?;Contribuye al cese de la conducta violenta de hombres sentenciados por violencia contra su pareja o que se encuentren en proceso de sanción, a través de la reeducación de sus creencias y percepciones sobre las mujeres. Se cuenta con 6 CAI en 5 regiones del país.
¿EN QUÉ CONSISTE EL SERVICIO ASISTENIA ECONÓMICA (AE)?;Es un apoyo económico destinado a los hijos de las víctimas de feminicidio. Así, se contribuye a su desarrollo integral y a sus proyectos de vida. La población beneficiaria comprende niñas, niños o adolescentes, personas mayores de 18 años que estén realizando estudios superiores de manera satisfactoria y personas con discapacidad. Para acceder a la AE, puedes presentar una solicitud a través de la Mesa de Partes Digital de la entidad. Si deseas más información puedes escribir al correo electrónico asistenciaeconomica@aurora.gob.pe.
¿EN QUÉ CONSISTE EL SERVICIO SERVICIO DE ATENCIÓN RURAL (SAR)?;Facilita el acceso a la justicia, así como la atención, la prevención y la protección de personas afectadas por violencia en ámbitos rurales y en pueblos indígenas. Asimismo, fortalece las capacidades de las autoridades, las lideresas, los líderes y la organización comunitaria para el abordaje integral frente a la problemática. Actualmente, se cuenta con 62 equipos de SAR que, mediante su oferta fija e itinerante, intervienen en 271 comunidades, 48 provincias y 23 regiones del país.
¿EN QUÉ CONSISTE EL SERVICIO SERVICIO DE ATENCIÓN URGENTES (SAU)?;Brinda atención a las víctimas de violencia donde se encuentren o hayan sucedido los hechos, especialmente si están en riesgo moderado o severo, a fin de contribuir con el acceso a la justicia, protección y recuperación. Para ello despliega acciones de articulación con otras áreas del Ministerio de la Mujer y Poblaciones Vulnerables (MIMP) o las instituciones del Estado. Existen 8 SAU a nivel nacional, ubicados en las regiones de Lima, Arequipa, Huánuco, Cusco, La Libertad, Puno, Madre de Dios y Ayacucho.
